instance,n,method,cost,time,valid
instance_01_n5_s0,5,BranchAndBound,248.96,0.01,True
instance_01_n5_s0,5,GeneticAlgorithm,248.96,0.8,True
instance_01_n5_s0,5,SimulatedAnnealing,248.96,6.0,True
instance_02_n7_s0,7,BranchAndBound,332.92,0.01,True
instance_02_n7_s0,7,GeneticAlgorithm,283.86,1.0,True
instance_02_n7_s0,7,SimulatedAnnealing,283.86,6.0,True
instance_03_n8_s0,8,BranchAndBound,478.59,0.02,True
instance_03_n8_s0,8,GeneticAlgorithm,389.49,1.2,True
instance_03_n8_s0,8,SimulatedAnnealing,389.49,6.0,True
instance_04_n10_s0,10,BranchAndBound,506.78,8.0,True
instance_04_n10_s0,10,GeneticAlgorithm,483.52,1.3,True
instance_04_n10_s0,10,SimulatedAnnealing,483.52,6.0,True
instance_05_n12_s0,12,BranchAndBound,N/A,N/A,N/A
instance_05_n12_s0,12,GeneticAlgorithm,526.33,1.5,True
instance_05_n12_s0,12,SimulatedAnnealing,521.72,6.0,True
instance_06_n15_s0,15,BranchAndBound,N/A,N/A,N/A
instance_06_n15_s0,15,GeneticAlgorithm,688.32,1.8,True
instance_06_n15_s0,15,SimulatedAnnealing,711.1,6.0,True
instance_07_n20_s0,20,BranchAndBound,N/A,N/A,N/A
instance_07_n20_s0,20,GeneticAlgorithm,815.22,2.3,True
instance_07_n20_s0,20,SimulatedAnnealing,789.49,8.0,True
instance_08_n30_s0,30,BranchAndBound,N/A,N/A,N/A
instance_08_n30_s0,30,GeneticAlgorithm,941.52,3.3,True
instance_08_n30_s0,30,SimulatedAnnealing,1052.9,8.0,True
instance_09_n50_s0,50,BranchAndBound,N/A,N/A,N/A
instance_09_n50_s0,50,GeneticAlgorithm,1804.16,5.2,True
instance_09_n50_s0,50,SimulatedAnnealing,2003.55,8.0,True
instance_10_n75_s0,75,BranchAndBound,N/A,N/A,N/A
instance_10_n75_s0,75,GeneticAlgorithm,2271.19,7.8,True
instance_10_n75_s0,75,SimulatedAnnealing,2414.25,8.0,True
